Game_Id,Player_Id,Team_Id,Game_Rating,SA,GA,SV,SV_percent,TOI,PIM
21186,546,19,77,35,3,32,.914,3900000,0
21186,4524,33,90,42,3,39,.929,3900000,0
21186,15649,33,0,0,0,0,.00nan,0,0
21186,29239,19,0,0,0,0,.00nan,0,0
21187,546,19,73,28,2,26,.929,3586000,0
21187,4524,33,0,0,0,0,.00nan,0,0
21187,15649,33,86,31,1,30,.968,3600000,0
21187,29239,19,0,0,0,0,.00nan,0,0
21188,1931,30,94,21,0,21,1000,3600000,0
21188,4851,30,0,0,0,0,.00nan,0,0
21188,5031,18,0,0,0,0,.00nan,0,0
21188,29089,18,87,37,2,35,.946,3546000,0
21189,2308,17,0,0,0,0,.00nan,0,0
21189,3643,34,36,31,6,25,.806,3600000,0
21189,13675,34,0,0,0,0,.00nan,0,0
21189,31925,17,100,33,0,33,1000,3600000,0
21190,1840,23,0,0,0,0,.00nan,0,0
21190,20741,11,64,38,4,34,.895,3524000,0
21190,24549,23,78,30,2,28,.933,3600000,0
21190,32637,11,0,0,0,0,.00nan,0,0
21191,8126,10,0,0,0,0,.00nan,0,0
21191,17566,10,100,30,0,30,1000,3600000,0
21191,24605,21,49,23,4,19,.826,3600000,0
21191,26535,21,0,0,0,0,.00nan,0,0
21192,1814,16,81,33,2,31,.939,3900000,0
21192,2210,12,0,0,0,0,.00nan,0,0
21192,14112,16,0,0,0,0,.00nan,0,0
21192,32602,12,94,32,2,30,.938,3900000,0
21193,1593,4838,100,39,0,39,1000,3600000,0
21193,3644,4182,0,0,0,0,.00nan,0,0
21193,22120,4838,0,0,0,0,.00nan,0,0
21193,25302,4182,81,25,1,24,.960,3561000,0
21194,1448,28,0,0,0,0,.00nan,0,0
21194,13881,28,62,19,2,17,.895,3600000,0
21194,15159,9,0,0,0,0,.00nan,0,0
21194,20145,9,79,38,3,35,.921,3562000,0
21195,65,31,65,26,2,24,.923,3900000,0
21195,17544,20,95,46,2,44,.957,3900000,0
21195,30236,20,0,0,0,0,.00nan,0,0
21195,32612,31,0,0,0,0,.00nan,0,0
21196,1078,0,59,36,4,32,.889,3900000,0
21196,14638,29,0,0,0,0,.00nan,0,0
21196,17790,29,53,28,4,24,.857,3900000,0
21196,29152,0,0,0,0,0,.00nan,0,0
21197,1814,16,52,12,1,11,.917,1638000,0
21197,14112,16,25,18,5,13,.722,1962000,0
21197,20012,27,87,39,2,37,.949,3600000,0
21197,32629,27,0,0,0,0,.00nan,0,0
21198,1840,23,82,33,3,30,.909,3900000,0
21198,1931,30,77,42,3,39,.929,3900000,0
21198,4851,30,0,0,0,0,.00nan,0,0
21198,24549,23,0,0,0,0,.00nan,0,0
21199,3304,26,0,0,0,0,.00nan,0,0
21199,3643,34,28,15,4,11,.733,920000,0
21199,13675,34,43,28,5,23,.821,2680000,0
21199,29746,26,69,19,1,18,.947,3600000,0
21200,1634,22,100,36,1,35,.972,3600000,0
21200,4469,5,0,0,0,0,.00nan,0,0
21200,5168,22,0,0,0,0,.00nan,0,0
21200,19166,5,63,21,2,19,.905,3559000,0
21201,2072,8,99,38,1,37,.974,3600000,0
21201,4524,33,64,36,5,31,.861,3600000,0
21201,15649,33,0,0,0,0,.00nan,0,0
21201,22527,8,0,0,0,0,.00nan,0,0
21202,2036,24,92,43,2,41,.953,3600000,0
21202,2440,15,52,32,4,28,.875,3592000,0
21202,4127,15,0,0,0,0,.00nan,0,0
21202,29139,24,0,0,0,0,.00nan,0,0
21203,264,35,0,0,0,0,.00nan,0,0
21203,8073,14,99,53,1,52,.981,3600000,0
21203,24359,14,0,0,0,0,.00nan,0,0
21203,25490,35,50,24,3,21,.875,3541000,0
21204,15159,9,86,44,3,41,.932,3900000,0
21204,17544,20,0,0,0,0,.00nan,0,0
21204,20145,9,0,0,0,0,.00nan,0,0
21204,30236,20,55,31,3,28,.903,3848000,0
21205,2210,12,73,37,3,34,.919,3643000,0
21205,5031,18,77,41,4,37,.902,3643000,0
21205,29089,18,0,0,0,0,.00nan,0,0
21205,32602,12,0,0,0,0,.00nan,0,0
21206,2308,17,0,0,0,0,.00nan,0,0
21206,8126,10,0,0,0,0,.00nan,0,0
21206,17566,10,93,36,2,34,.944,3900000,0
21206,31925,17,97,44,2,42,.955,3900000,0
21207,1448,28,92,47,4,43,.915,3829050,0
21207,13881,28,0,0,0,0,.00nan,0,0
21207,24295,3,0,0,0,0,.00nan,0,0
21207,26285,3,86,49,5,44,.898,3829050,0
21208,546,19,72,35,3,32,.914,3600000,0
21208,24605,21,0,0,0,0,.00nan,0,0
21208,26535,21,70,23,2,21,.913,3600000,0
21208,29239,19,0,0,0,0,.00nan,0,0
21209,752,32,0,0,0,0,.00nan,0,0
21209,3643,34,55,26,4,22,.846,3900000,0
21209,13675,34,0,0,0,0,.00nan,0,0
21209,15180,32,48,30,4,26,.867,3900000,0
21210,65,31,76,44,4,40,.909,3600000,0
21210,264,35,0,0,0,0,.00nan,0,0
21210,25490,35,78,22,1,21,.955,3600000,0
21210,32612,31,0,0,0,0,.00nan,0,0
21211,4469,5,0,0,0,0,.00nan,0,0
21211,14638,29,0,0,0,0,.00nan,0,0
21211,17790,29,74,41,4,37,.902,3545000,0
21211,19166,5,43,16,3,13,.813,3600000,0
21212,2072,8,0,0,0,0,.00nan,0,0
21212,4524,33,64,32,3,29,.906,3544000,0
21212,15649,33,0,0,0,0,.00nan,0,0
21212,22527,8,81,27,2,25,.926,3600000,0
21213,1593,4838,47,34,5,29,.853,3524000,0
21213,20012,27,60,24,3,21,.875,3600000,0
21213,22120,4838,0,0,0,0,.00nan,0,0
21213,32629,27,0,0,0,0,.00nan,0,0
21214,1931,30,38,33,6,27,.818,3590000,0
21214,3304,26,100,35,1,34,.971,3102000,0
21214,4851,30,0,0,0,0,.00nan,0,0
21214,29746,26,32,9,3,6,.667,498000,0
21215,1634,22,58,35,4,31,.886,3600000,0
21215,5168,22,0,0,0,0,.00nan,0,0
21215,20741,11,38,31,6,25,.806,3572000,0
21215,32637,11,0,0,0,0,.00nan,0,0
21216,2036,24,65,39,5,34,.872,3600000,0
21216,24295,3,0,0,0,0,.00nan,0,0
21216,26285,3,100,41,2,39,.951,3600000,0
21216,29139,24,0,0,0,0,.00nan,0,0
21217,2440,15,64,33,4,29,.879,3600000,0
21217,3644,4182,0,0,0,0,.00nan,0,0
21217,4127,15,0,0,0,0,.00nan,0,0
21217,25302,4182,51,44,7,37,.841,3600000,0
21218,2308,17,84,32,2,30,.938,3900000,0
21218,8073,14,0,0,0,0,.00nan,0,0
21218,24359,14,81,32,2,30,.938,3900000,0
21218,31925,17,0,0,0,0,.00nan,0,0
21219,546,19,82,30,2,28,.933,3600000,0
21219,2210,12,0,0,0,0,.00nan,0,0
21219,29239,19,0,0,0,0,.00nan,0,0
21219,32602,12,68,33,3,30,.909,3549000,0
21220,1840,23,32,5,2,3,.600,384000,0
21220,5031,18,75,35,3,32,.914,3600000,0
21220,24549,23,42,43,7,36,.837,3216000,0
21220,29089,18,0,0,0,0,.00nan,0,0
21221,8126,10,64,42,5,37,.881,3600000,0
21221,17566,10,0,0,0,0,.00nan,0,0
21221,25620,25,73,24,1,23,.958,3600000,0
21221,26065,25,0,0,0,0,.00nan,0,0
21222,1078,0,0,0,0,0,.00nan,0,0
21222,15159,9,0,0,0,0,.00nan,0,0
21222,20145,9,77,38,3,35,.921,3715000,0
21222,29152,0,77,36,4,32,.889,3715000,0
21223,1448,28,0,0,0,0,.00nan,0,0
21223,13881,28,76,27,2,25,.926,3578000,0
21223,17544,20,100,41,1,40,.976,3600000,0
21223,30236,20,0,0,0,0,.00nan,0,0
